@relation R_data_frame-weka.filters.unsupervised.attribute.NumericToNominal-R3-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.RemovePercentage-P90.0

@attribute IMP_TASA numeric
@attribute NUM_ASC {0,1}
@attribute NUM_BAN numeric
@attribute NUM_HAB numeric
@attribute NUM_VAL_M2_UTIL numeric
@attribute NUM_VAL_M2_CONST numeric
@attribute TXT_SUB_CATE_ACTI {Adosado,Apartamento,Atico,Bungalow,Casa,Chalet,Cortijo,Duplex,Estudio,Pareado,Piso,Triplex,Unifamiliar}

@data
118420,1,2,3,85,85,Piso
191809.14,0,3,3,120,141,Chalet
41555.2,0,1,3,80.34,96.64,Piso
137750,0,2,2,76.68,95,Piso
224619.89,0,3,4,247.94,247.94,Chalet
101785.11,0,1,3,94.37,109.95,Piso
111520,0,2,4,130,164,Piso
85695,0,3,3,94.8,114.26,Piso
50502.38,0,1,2,53,61,Apartamento
58910.2,0,1,2,65,75,Apartamento
54293.98,0,1,2,66,76,Apartamento
57760.76,0,1,2,65,75,Apartamento
55411.44,0,1,2,68,79,Apartamento
60613.34,0,2,2,71,83,Apartamento
93047.2,0,1,2,70.31,91.33,Piso
261465.53,0,3,3,176.66,203.11,Adosado
94846.05,1,2,3,94,118.7,Piso
37904.14,1,2,2,59,72.48,Piso
62344.76,1,1,1,44.75,63.51,Piso
37904.14,1,2,2,59,72.48,Piso
82132.62,1,2,2,63.05,81.3,Piso
68323.97,1,1,1,52.2,68.64,Piso
61370.1,1,1,1,44.75,61.99,Piso
93042.63,1,2,3,87.56,117.2,Piso
71604.35,1,1,2,55.15,77.3,Piso
97949.85,1,2,3,85.2,103.02,Piso
77568.32,1,2,2,63.05,81.3,Piso
82097.7,1,2,2,75.18,98.07,Piso
70258.27,1,1,2,61.63,82.24,Piso
81921.07,1,2,3,77.91,105.71,Piso
69284.2,1,1,2,57.61,82.63,Piso
69633.45,1,2,2,62.85,88.13,Piso
73472.53,1,1,2,57.69,82.21,Piso
60708.06,1,1,1,49.09,68.83,Piso
87091.74,1,2,2,75.18,98.07,Piso
69912.75,1,1,2,61.63,82.24,Piso
85724.99,1,2,3,77.91,105.71,Piso
72704.81,1,2,2,62.85,87.83,Piso
80664.22,1,1,2,71.15,93.84,Piso
67464.56,1,1,1,49.09,69.48,Piso
66940.33,1,1,2,53.01,69.9,Piso
68536.99,1,1,2,61.32,81.57,Piso
61292.16,1,1,1,50.29,70.94,Piso
116802.2,1,3,3,101.2,130.55,Piso
143690.58,1,3,3,126.91,156.52,Piso
38697.1,0,1,3,71,85,Piso
60244.96,0,1,2,51.15,66.5,Piso
58729.01,0,1,1,48.4,62.92,Piso
132637.6,0,2,4,95.27,121.78,Piso
150192.81,0,2,4,156.55,156.55,Piso
79829.5,0,2,2,56.79,74.26,Piso
96019,?,2,3,60.11,87.29,Piso
?,1,2,2,68.03,88.54,Piso
87265.82,0,1,2,55.35,65.95,Piso
91670.79,0,2,3,93.22,112.31,Adosado
111811.85,0,2,3,110,123.58,Adosado
92026.79,0,1,3,72.34,72.34,Piso
92489.4,0,1,3,75.77,75.77,Piso
93599.61,0,1,3,72.34,72.34,Piso
93468.39,0,1,3,75.77,75.77,Piso
112888.86,0,1,1,42.61,53.61,Piso
54505.7,0,1,3,77.75,97.6,Piso
62438.19,0,1,3,65,75,Chalet
130201,1,2,3,91.15,119.6,Piso
67743.41,0,1,1,45.4,57.89,Piso
117017.7,0,1,3,87.53,87.53,Piso
87536.47,0,2,3,102,102,Adosado
138153.24,0,2,3,?,?,Piso
51800.65,0,1,3,62.6,84.37,Piso
86978.39,0,2,3,?,?,Casa
107079.12,1,2,3,?,?,Piso
78848.06,0,3,4,?,?,Casa
151671.01,0,2,3,?,?,Atico
111978.28,0,2,2,?,?,Piso
59647.15,0,2,4,?,?,Piso
238518.22,0,2,3,?,?,Adosado
120100.6,0,1,2,?,?,Casa
84336.72,0,2,3,?,?,Piso
80105.87,0,1,1,58.46,73.08,Piso
117985.18,0,3,4,184.01,221.81,Adosado
97218.64,?,2,3,68.62,90.49,Piso
107435.79,?,2,3,74.25,99,Piso
121071.02,?,2,3,83.39,110.46,Piso
108510.15,?,2,3,74.25,99,Piso
54738.66,0,1,3,?,?,Piso
107613.7,0,1,2,?,?,Piso
74919.82,0,1,3,61.3,79.48,Piso
267718.84,0,4,3,250,269,Adosado
44225,0,1,1,?,?,Chalet
58500,0,1,3,?,?,Chalet
133812.31,1,2,3,72.12,95,Piso
68037.29,0,1,2,46.11,59.74,Piso
77056.35,0,2,4,85.58,100.93,Casa
134898.85,0,1,2,51.96,67.2,Piso
94400,0,1,2,?,?,Adosado
79941.31,0,1,3,?,?,Piso
70856.31,0,1,2,?,?,Piso
175429.03,0,3,5,260.8,326,Adosado
91516.75,0,1,4,?,?,Piso
134937,0,2,4,121.79,149.93,Adosado
195673.78,0,2,4,142.22,177.85,Adosado
99147.23,0,1,3,118.01,142.18,Casa
94214.89,0,1,3,67.57,92.41,Piso
46277.52,0,2,3,102.09,123,Casa
43908.57,0,1,3,58.76,71.19,Piso
140070.28,0,2,4,127.9,146.26,Adosado
66430.81,0,1,3,73.42,99.88,Piso
62575.18,0,1,3,69.1,94,Piso
62575.18,0,1,3,69.1,94,Piso
62575.18,0,1,3,69.1,94,Piso
63906.29,0,2,3,70.59,96.03,Piso
67893.07,0,1,3,75.06,102.11,Piso
67873.4,0,1,3,75.04,102.08,Piso
52575.45,0,1,2,57.89,78.75,Piso
80981.24,0,2,3,89.73,122.07,Piso
100134.54,0,1,3,47.35,65,Piso
?,?,2,4,98.2,125.42,Piso
105976.5,0,2,3,83.01,100.93,Piso
195031.69,0,2,4,133.82,168.1,Piso
38844,0,2,3,82.64,100,Piso
296548.6,?,2,3,83.85,88.62,Piso
140999.29,0,2,4,165,191,Chalet
107160.97,0,2,4,107,130.61,Adosado
126578.52,0,2,3,85.24,106.55,Piso
122009.96,0,1,2,56.61,73.53,Piso
43176,0,1,3,74.71,88.9,Piso
109130.74,0,2,3,83.83,112.49,Piso
92185.21,0,1,3,83.97,104.39,Piso
92760.75,0,1,2,55.25,66.77,Piso
68552.22,0,1,3,74.27,74.27,Piso
90789.63,0,2,4,127.15,146.22,Casa
48380,0,1,2,65,82,Piso
103393.69,0,2,4,?,?,Casa
178845.16,0,2,3,111.92,154.75,Atico
163773.08,0,3,4,117.15,202.68,Adosado
46659.84,0,2,3,106.24,128,Casa
130983.78,0,2,3,180,203.88,Chalet
114500.14,0,?,?,?,?,Piso
?,?,2,3,68.35,92.88,Piso
?,?,1,1,39.05,57.17,Piso
?,?,1,2,56.5,78.25,Piso
?,?,1,2,52.2,72.87,Piso
?,?,1,1,39.05,57.17,Piso
?,?,1,2,56.5,78.25,Piso
?,?,1,2,52.2,72.92,Piso
32322.29,0,1,3,69.43,91,Piso
201320.6,0,2,3,97.1,113.01,Piso
126918.28,0,1,3,46.28,56.56,Piso
?,?,1,2,132.8,132.8,Piso
?,?,1,1,71.6,71.6,Piso
?,?,1,2,119.09,119.09,Piso
?,?,1,2,119.09,119.09,Piso
?,?,1,1,63.27,63.27,Piso
?,?,1,1,63.27,63.27,Piso
?,?,1,2,137.55,137.55,Piso
?,?,1,2,137.55,137.55,Piso
?,?,1,1,69.01,69.01,Piso
?,?,1,1,69.01,69.01,Piso
?,?,1,2,125.9,125.9,Piso
?,?,1,2,125.9,125.9,Piso
?,?,1,2,104.14,104.14,Piso
?,?,1,1,75.16,75.16,Piso
?,?,1,1,75.16,75.16,Piso
61067.34,0,1,3,78.48,96.54,Piso
142158.84,0,2,2,82.06,82.06,Adosado
37100,0,1,2,39,53,Piso
55729.8,0,1,3,75,90,Piso
10727.28,0,1,1,?,?,Casa
91944.92,0,1,1,51.21,51.21,Piso
94605.82,0,1,1,54.87,54.87,Piso
95434.8,0,1,1,54.86,54.86,Piso
119934.02,0,1,2,71.7,71.7,Piso
73098.02,0,1,1,39.79,39.79,Piso
101794.44,0,1,1,59.3,59.3,Piso
105151.42,0,1,2,61.17,61.17,Piso
130960.78,0,1,2,78.44,78.44,Piso
93333.11,0,1,1,53.79,53.79,Piso
152571.76,0,2,3,93.43,93.43,Piso
160594.21,0,2,3,130.88,155.27,Adosado
485121,0,2,3,?,?,Chalet
389520.21,0,3,5,160,185.46,Chalet
60736.81,0,1,3,71.18,93.86,Piso
95184.12,0,1,4,82.42,104.26,Piso
42750,0,1,1,35.1,45,Apartamento
108765.01,0,2,3,76.11,78.29,Piso
84114.54,0,2,5,166,166,Casa
230617.26,0,2,5,198.64,219,Adosado
292932.33,0,2,3,206.81,244.74,Adosado
126462.83,0,1,1,90.91,111.82,Adosado
38678.25,0,2,3,65,92.25,Casa
109201.69,0,2,3,63.1,70.2,Adosado
69331.05,0,1,1,39.41,50.35,Piso
54334.28,0,1,3,56.67,70.84,Piso
?,?,1,2,56.05,91.72,Piso
?,?,1,2,56.5,91.83,Piso
?,?,1,1,36.8,60.92,Piso
?,?,1,2,52.25,81.46,Piso
?,?,1,2,58.2,84.54,Piso
?,?,1,1,37.45,53.47,Piso
?,?,1,1,45.4,69.28,Piso
88476.45,0,?,?,80.52,107.61,Piso
115748.16,0,2,3,87.65,109.9,Piso
38877.2,0,1,2,128.75,144.58,Casa
98154.98,0,2,3,90.97,121.75,Piso
32058.75,0,1,2,68.68,85.49,Piso
223902.9,0,2,3,181.07,181.07,Chalet
145950,0,3,4,119.58,139,Adosado
71722.43,0,1,4,91,123.5,Casa
111896.27,0,2,3,88.97,118.38,Piso
110788.41,0,2,3,79,93.75,Adosado
130029.86,0,2,3,123.52,123.52,Piso
115524.06,0,2,3,109.18,109.18,Piso
39046.9,0,1,3,67.86,88.14,Piso
72044.84,0,1,2,54.46,70.25,Piso
49811.55,0,1,2,109.5,121,Piso
107053.86,0,1,3,88.27,112.65,Adosado
95080.82,0,1,2,58,68.44,Piso
49602.48,0,1,3,62,62,Piso
71927.04,0,1,3,76.74,98,Piso
104535.85,0,2,3,108.62,135.77,Piso
80096.11,?,3,4,111.09,127.69,Piso
59009.34,0,1,2,51.83,59.23,Piso
101884.4,0,2,3,120.15,149.83,Adosado
38391.72,0,2,3,75,75,Piso
84883.97,0,2,3,71.1,90.07,Piso
86628.46,0,2,3,71.85,93.68,Piso
83562.94,0,2,3,70.15,90.31,Piso
105135.95,0,2,3,75.7,107.56,Piso
96685.33,0,2,3,78.82,102.38,Piso
123930.87,0,2,4,116.11,135.19,Adosado
121848.65,0,2,3,90.36,111.9,Piso
40214.24,0,1,3,60.9,73,Piso
80784.99,0,1,3,70.14,81.1,Adosado
55083.21,0,1,3,76.1,91,Casa
85828.9,0,1,3,54.1,74,Piso
86244.24,0,2,3,89.95,106.75,Piso
62597.23,0,1,3,59.06,63.23,Piso
198859.96,0,2,2,114.41,131.5,Piso
120438.53,0,2,3,108.86,134.4,Piso
79440.91,0,1,2,68.73,85.87,Piso
185403.04,0,3,5,151.41,197.21,Adosado
42283.53,0,2,4,61.28,74.79,Piso
90888,0,1,3,89.8,108,Piso
153216,0,2,3,89.67,109.4,Piso
91297.27,0,2,4,73,98,Piso
?,0,2,3,77.4,95.42,Piso
120437.04,0,1,2,54.15,79.83,Piso
?,0,2,3,90.22,114.22,Piso
?,0,2,3,68.95,93.93,Piso
165489.26,0,2,3,100.78,118.76,Duplex
51066.61,0,2,3,63,70.7,Piso
71034.57,0,2,3,89.99,130.47,Piso
158732.46,0,3,4,168.57,191.85,Adosado
122652.74,0,2,3,97.28,138.41,Chalet
58338.7,0,2,3,70,70,Piso
63554.3,0,2,4,109.05,137,Piso
286151,0,1,3,100,100,Piso
?,?,1,3,73,73,Piso
?,?,2,3,93,93,Piso
64736.26,0,2,3,60.15,77.45,Adosado
104725.66,0,2,3,84.84,109.71,Piso
112125.82,0,2,4,89.98,104.38,Adosado
105049.12,?,1,2,48.7,53.15,Piso
164238.97,0,2,4,221.83,247.41,Adosado
133739.47,0,2,4,176.81,217.64,Adosado
396403.36,0,2,4,246,296,Adosado
90881.19,0,2,3,105.09,105.09,Piso
48127.69,0,1,3,61.26,61.26,Piso
110949.37,0,2,3,175,175,Casa
90065.15,?,1,3,67.2,85,Piso
249900,?,3,3,185.93,213.82,Adosado
60512.95,0,2,3,81.11,93.2,Piso
124680.05,0,1,3,56.8,73.44,Piso
119304.67,0,1,3,61.2,78,Piso
67465.44,0,2,4,89.9,120.7,Piso
29910.6,0,1,4,82.51,103.14,Piso
44472.46,0,1,3,60.9,75.04,Piso
110723.86,0,2,3,64.95,79.7,Piso
119883.65,0,2,3,117.87,135.48,Piso
87905.91,0,?,?,95.23,95.23,Piso
77884.36,0,1,3,78.48,90,Piso
50255.89,0,?,?,85.84,85.84,Casa
83187.86,0,?,?,117.86,142,Adosado
77136.97,0,?,?,72.29,95.45,Piso
120581.9,0,?,?,83.82,108.88,Duplex
211600,1,1,2,49.23,68.64,Piso
107275.71,0,1,2,76.63,100.39,Piso
305260.09,0,?,?,?,463.79,Chalet
109617.93,0,1,2,?,?,Piso
90001.5,0,2,2,108.94,124.14,Adosado
56005.6,0,1,1,98.55,112,Casa
64461.09,0,2,3,90.79,114.55,Piso
95521.95,0,?,?,94.13,122.25,Piso
87842.16,0,?,?,87.72,112.17,Piso
89424.85,0,?,?,90.01,115.37,Piso
96000.04,0,?,?,94.7,125.45,Piso
64889.89,0,?,?,80.3,92.3,Piso
71486.67,0,?,?,85,85,Piso
52165.2,0,1,4,75.92,87,Piso
51637.38,0,?,?,89.81,113.82,Piso
61001.22,0,1,3,101.26,122,Casa
44341.5,0,?,?,81.21,93.67,Piso
83500.41,0,?,?,98.13,122.44,Piso
109376.06,0,1,3,84.7,110.88,Piso
49020.65,0,?,?,74.93,103.43,Piso
94159.91,0,3,2,87.37,102.66,Adosado
68299.88,0,1,3,103.57,118,Casa
37615.5,0,1,3,44.2,57.87,Piso
44902,0,1,3,65.81,86.35,Piso
178472.54,0,?,?,139.2,160,Piso
91743.12,0,1,2,65,84,Piso
104745.9,?,2,4,91.26,102.63,Piso
184123.58,0,?,?,89.79,124.56,Piso
226372.79,0,2,3,181,216.37,Chalet
92413.44,0,1,2,56.41,66.52,Piso
237429.48,0,2,4,?,?,Piso
104547.65,0,?,?,89.61,115,Piso
74888.96,0,?,?,45.29,63.4,Piso
78105.1,0,?,?,48.17,66.4,Piso
53265.54,0,?,?,33.49,45.2,Piso
78288.54,0,?,?,48.17,66.4,Piso
92005.52,0,1,2,168.49,203,Chalet
113776.86,0,1,3,64.2,82.21,Piso
62549.49,0,?,?,38.53,50.05,Piso
109600.81,0,?,?,80.66,80.66,Piso
125383.09,0,?,?,100.33,130.31,Piso
73013.53,0,?,?,58.26,71.66,Piso
73591.22,0,?,?,58.26,71.66,Piso
42983.28,0,1,2,49.75,72,Piso
54298.9,0,1,3,66.52,85.12,Piso
239481.13,0,?,?,155.21,187,Chalet
96810.07,0,1,2,56,67.2,Casa
62025.14,0,1,3,111.85,147,Casa
201403,0,2,3,?,?,Adosado
62668.93,0,?,?,77.09,95,Piso
102725.47,0,?,?,90,116.1,Piso
188864.11,0,?,?,102.21,146,Chalet
84585.81,0,2,3,90,116.1,Piso
111812.13,0,?,?,99.43,128.7,Piso
34625.94,0,?,?,150,166,Casa
89489.44,0,1,2,61.87,74.25,Adosado
91128.22,0,?,?,90,116.1,Piso
114973.35,0,2,4,132.16,175.16,Adosado
75595.82,0,2,3,92.73,92.73,Piso
165321.59,0,3,4,141.93,171,Adosado
99577.22,0,2,3,69.3,93.6,Piso
100768.6,0,2,4,93.97,135.36,Piso
95470.83,0,1,2,51.2,66.05,Piso
78205.01,0,?,?,76.19,103.5,Piso
181884.04,0,2,4,106.29,136.06,Piso
128710.95,0,2,3,113.77,113.77,Piso
64716.44,0,1,2,54.16,78.35,Piso
