@relation INMUEBLE_SIN_OUTLIER-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.NumericToNominal-R3-weka.filters.unsupervised.attribute.Remove-R1

@attribute IMP_TASA numeric
@attribute NUM_ASC {0,1}
@attribute NUM_BAN numeric
@attribute NUM_HAB numeric
@attribute NUM_VAL_M2_UTIL numeric
@attribute NUM_VAL_M2_CONST numeric
@attribute TXT_SUB_CATE_ACTI {Piso,Casa,Atico,Adosado,Duplex,Apartamento,Chalet}

@data
91244.65,1,2,3,99,110.5,Piso
111846,0,1,2,59.28,79.89,Piso
149508.11,0,?,?,80.46,80.46,Piso
162315.38,0,?,?,99.23,99.23,Piso
161982.52,0,?,?,99.23,99.23,Piso
141918.46,0,?,?,80.46,80.46,Piso
138964.4,0,?,?,79.66,79.66,Piso
141583.84,0,?,?,80.96,80.96,Piso
141583.84,0,?,?,80.96,80.96,Piso
138964.4,0,?,?,79.66,79.66,Piso
141918.46,0,?,?,80.46,80.46,Piso
224637,0,2,3,81,108.68,Piso
139640.75,0,?,?,79.66,79.66,Piso
141882.61,0,?,?,80.96,80.96,Piso
139627.85,0,?,?,79.66,79.66,Piso
252717,0,2,3,88.3,118.56,Piso
142796.03,0,?,?,80.46,80.46,Piso
142796.03,0,?,?,80.46,80.46,Piso
139640.75,0,?,?,79.66,79.66,Piso
142130.03,0,?,?,80.96,80.96,Piso
139640.75,0,?,?,79.66,79.66,Piso
294890,?,2,3,87.35,117.6,Piso
146823.89,0,?,?,80.46,80.46,Piso
152359.31,0,?,?,93.18,93.18,Piso
123496.19,0,?,?,74.25,74.25,Piso
123679.7,0,?,?,74.25,74.25,Piso
260781,0,2,3,87.9,118.56,Piso
152542.82,0,?,?,93.18,93.18,Piso
120840,0,1,3,67.4,80.56,Piso
45264.36,0,1,3,75.2,85.82,Piso
165747.63,0,2,3,257.47,280.14,Casa
99541.56,0,2,2,?,382,Casa
155200,0,2,4,170,170,Casa
99694.59,0,2,3,71.48,89.22,Piso
304011,?,2,3,87.35,117.6,Piso
102041,0,2,3,86.47,106.96,Piso
?,?,2,3,87.9,118.56,Piso
86348,?,2,2,?,77.88,Piso
60635,?,2,2,?,49.72,Piso
107180,?,2,2,?,102.26,Piso
64787,?,2,2,?,49.7,Piso
108991,?,2,2,?,142.86,Atico
109467,?,2,2,?,99.03,Piso
76602,?,2,2,?,61.87,Piso
101485,?,2,2,?,93.85,Piso
117636,?,2,2,?,99.98,Piso
100188,?,2,2,?,84.04,Piso
111197,?,2,2,?,96.08,Piso
105254,?,2,2,?,95.68,Atico
95513,?,2,2,?,85.57,Atico
92758,?,2,2,?,86.1,Atico
?,?,2,3,87.35,117.6,Piso
152372.49,0,1,2,67.65,90.45,Piso
100239.94,0,1,1,45.5,57.37,Piso
100239.94,0,1,1,45.5,57.37,Piso
206515.54,?,?,?,120,120,Adosado
142308.84,?,1,2,81.07,81.07,Piso
?,?,2,3,87.35,117.6,Piso
113126.87,1,1,3,68.4,83.5,Piso
161543.03,0,2,4,118.85,118.85,Piso
?,?,2,2,65.7,93.95,Duplex
