"IMP_TASA" "NUM_ASC" "NUM_BAN" "NUM_HAB" "NUM_VAL_M2_UTIL" "NUM_VAL_M2_CONST" "TXT_SUB_CATE_ACTI"
"9198" 362793 "0" 3 3 93.92 112.72 "Adosado"
"5133" 377305.99 "0" 4 3 62.08 149.8 "Adosado"
"9368" 135330 "1" 1 2 63.95 63.95 "Apartamento"
"2584" 321827.7 "0" 1 2 62.7 69.21 "Apartamento"
"2326" 84285.55 "0" 1 5 160.73 176.8 "Atico"
"5518" 271107.3 "1" 2 3 100.3 121.3 "Atico"
"2439" 42682 "0" 1 1 262.37 329.34 "Casa"
"16074" 63126.82 "0" 4 4 147 181.4 "Casa"
"16789" 629991.42 "0" 3 3 426.56 426.56 "Chalet"
"9648" 153841 "0" 4 2 164.24 197.85 "Chalet"
"14202" 120971.68 "1" 2 3 124.38 172.69 "Duplex"
"890" 67588.97 "0" 1 3 66.05 83.61 "Duplex"
"2647" 166078.74 "0" 2 5 81.44 91.21 "Piso"
"16073" 115102 "0" 1 1 60 60 "Piso"
